Prefix,Type
206.138.168.0/21, MSFT Public IP Address Block 192
206.191.224.0/19, MSFT Public IP Address Block 193
207.46.0.0/16, MSFT Public IP Address Block 194
207.68.128.0/18, MSFT Public IP Address Block 195
208.68.136.0/21, MSFT Public IP Address Block 196
208.76.44.0/22, MSFT Public IP Address Block 197
208.84.0.0/21, MSFT Public IP Address Block 198
209.240.192.0/19, MSFT Public IP Address Block 199
213.199.128.0/18, MSFT Public IP Address Block 200
216.32.180.0/22, MSFT Public IP Address Block 201
216.220.208.0/20, MSFT Public IP Address Block 202
